Weekly,USMexAdjClose
2008-01-07,10.92490005
2008-01-14,10.89700031
2008-01-21,10.88290024
2008-01-28,10.80300045
2008-02-04,10.74320030
2008-02-11,10.75119972
2008-02-18,10.77099991
2008-02-25,10.71000004
2008-03-03,10.82699966
2008-03-10,10.76490021
2008-03-17,10.71800041
2008-03-24,10.69099998
2008-03-31,10.56169987
2008-04-07,10.53219986
2008-04-14,10.46100044
2008-04-21,10.45510006
2008-04-28,10.45499992
2008-05-05,10.55980015
2008-05-12,10.39610004
2008-05-19,10.38309956
2008-05-26,10.32600021
2008-06-02,10.35700035
2008-06-09,10.35589981
2008-06-16,10.26449966
2008-06-23,10.29580021
2008-06-30,10.33300018
2008-07-07,10.28419971
2008-07-14,10.18420029
2008-07-21,10.10169983
2008-07-28,9.94309998
2008-08-04,10.16320038
2008-08-11,10.18000031
2008-08-18,10.13459969
2008-08-25,10.27420044
2008-09-01,10.44079971
2008-09-08,10.67749977
2008-09-15,10.65690041
2008-09-22,10.78810024
2008-09-29,11.22200012
2008-10-06,12.31919956
2008-10-13,12.84220028
2008-10-20,13.39200020
2008-10-27,12.81589985
2008-11-03,12.68019962
2008-11-10,13.05729961
2008-11-17,13.94299984
2008-11-24,13.47770023
2008-12-01,13.57800007
2008-12-08,13.52799988
2008-12-15,13.12199974
2008-12-22,13.41919994
2008-12-29,13.77260017
2009-01-05,13.65769958
2009-01-12,13.89949989
2009-01-19,14.02509975
2009-01-26,14.25570011
2009-02-02,14.11919975
2009-02-09,14.51669979
2009-02-16,14.78160000
2009-02-23,15.33180046
2009-03-02,15.16699982
2009-03-09,14.62399960
2009-03-16,14.03299999
2009-03-23,14.33880043
2009-03-30,13.54179955
2009-04-06,13.13000011
2009-04-13,13.09780025
2009-04-20,13.55049992
2009-04-27,13.72599983
2009-05-04,13.02280045
2009-05-11,13.23009968
2009-05-18,13.18200016
2009-05-25,13.13599968
2009-06-01,13.23859978
2009-06-08,13.39430046
2009-06-15,13.35550022
2009-06-22,13.21300030
2009-06-29,13.28989983
2009-07-06,13.67570019
2009-07-13,13.33800030
2009-07-20,13.18700027
2009-07-27,13.17800045
2009-08-03,12.96840000
2009-08-10,12.85499954
2009-08-17,12.82479954
2009-08-24,13.23950005
2009-08-31,13.37150002
2009-09-07,13.33199978
2009-09-14,13.24219990
2009-09-21,13.56200027
2009-09-28,13.60849953
