,0,1,2,3,4,5,6,7
random_forest,0.061342724364621334,0.077652669109666,0.19884991244218117,0.08586762000770268,0.20497948782434805,0.0471640683791451,0.09087547936365663,0.23326803850867908
gradient_boosting,0.07865139387044476,0.10586168488230979,0.11976583792292414,0.09481562177304402,0.14295881294799556,0.11770780441218483,0.13595469414031364,0.20428415005078326
xgboost,0.10994625836610794,0.1120392456650734,0.12991657853126526,0.1142469123005867,0.15930123627185822,0.12340705841779709,0.11230714619159698,0.13883548974990845
adaboost,0.16,0.16,0.14,0.04,0.16,0.02,0.12,0.2
svc_linear,0.05231166855996916,-0.022876333551680617,-0.3294774106619526,0.2969535667305721,0.4854095857123525,-0.023588375421927488,-0.24960518657437447,-0.8911426953684057
