Classifier models,Score
random_forest,0.5918367346938775
gradient_boosting,0.5374149659863946
xgboost,0.5782312925170068
adaboost,0.5306122448979592
svc_linear,0.6054421768707483
svc_poly,0.5986394557823129
svc_rbf,0.6258503401360545
GaussianNB,0.5714285714285714
neuro,0.5918367505073547
