DATE,TOTALSA
2001-01-07,17.629144888564504
2001-01-14,17.85069075270306
2001-01-21,16.499039108074676
2001-01-28,14.1632103563486
2001-02-04,16.917572332616515
2001-02-11,18.8291755926066
2001-02-18,18.630054662320358
2001-02-25,16.558839302489467
2001-03-04,17.79211917314296
2001-03-11,19.27650863022371
2001-03-18,18.169940926610977
2001-03-25,17.606315441612814
2001-04-01,16.64104153901256
2001-04-08,16.423080801515773
2001-04-15,16.794574530980146
2001-04-22,17.016377779865216
2001-04-29,19.306308928448814
2001-05-06,17.774785159400913
2001-05-13,17.825849819703524
2001-05-20,18.476192089231017
2001-05-27,14.386858407016986
2001-06-03,16.87384582199141
2001-06-10,17.09335174368717
2001-06-17,17.734584974179153
2001-06-24,17.013700284703553
2001-07-01,15.892130531005467
2001-07-08,15.061429163460923
2001-07-15,17.221388410902094
2001-07-22,17.768854313031344
2001-07-29,14.080863955144139
2001-08-05,17.445677455242453
2001-08-12,18.033905041667854
2001-08-19,16.403518041120016
2001-08-26,16.42733111453742
2001-09-02,15.483102380448843
2001-09-09,15.255162087251952
2001-09-16,17.50685299354248
2001-09-23,15.016420169720526
2001-09-30,16.98377869031348
2001-10-07,23.308452765128155
2001-10-14,23.744396097594514
2001-10-21,22.08692323818672
2001-10-28,21.060512374711926
2001-11-04,16.264110142686967
2001-11-11,14.708612040081565
2001-11-18,17.366202244331795
2001-11-25,18.1679334118675
2001-12-02,18.24244832107922
2001-12-09,18.081328225086605
2001-12-16,17.244409719737412
2001-12-23,15.633470776567606
2001-12-30,17.013887449766155
2002-01-06,16.648785051644328
2002-01-13,16.406355584518302
2002-01-20,15.857097332565322
2002-01-27,16.332495280556692
2002-02-03,17.032088303360695
2002-02-10,16.534983879211058
2002-02-17,15.675736910113967
2002-02-24,17.453943459353003
2002-03-03,17.574659780567515
2002-03-10,16.389512888818295
2002-03-17,15.363408228047764
2002-03-24,16.723842841723645
2002-03-31,18.343792618366034
2002-04-07,17.38215236304976
2002-04-14,15.721498198920317
2002-04-21,18.84277914276419
2002-04-28,17.515152494375958
2002-05-05,15.982041793410032
2002-05-12,16.429065359988993
2002-05-19,17.17530129425519
2002-05-26,14.719938023115768
2002-06-02,15.035213955942888
2002-06-09,15.513446654031444
2002-06-16,16.782886208695874
2002-06-23,17.619422813580922
2002-06-30,18.14898024138017
2002-07-07,16.154827294399716
2002-07-14,17.563216658584317
2002-07-21,18.019026608113357
2002-07-28,19.709146719499117
2002-08-04,16.97217973856454
2002-08-11,18.521375044014736
2002-08-18,18.179367100928786
2002-08-25,16.249756105475374
2002-09-01,18.687453216008663
2002-09-08,18.505518421877063
2002-09-15,16.206357669421976
2002-09-22,17.60048298665876
2002-09-29,15.99297917383803
2002-10-06,14.987080863697408
2002-10-13,15.386726081420607
2002-10-20,16.324830437389416
2002-10-27,15.111258247960215
2002-11-03,15.373614193281359
2002-11-10,15.259633482050347
2002-11-17,16.59360456563104
2002-11-24,15.060857226986757
2002-12-01,15.982340066921582
2002-12-08,16.178552684907604
2002-12-15,18.280652447841156
2002-12-22,19.37066249678248
2002-12-29,18.40368687008879
2003-01-05,17.067870060234004
2003-01-12,16.260992005933048
2003-01-19,16.468004356187325
2003-01-26,15.433447953608677
2003-02-02,15.796881213028064
2003-02-09,15.659221958675252
2003-02-16,14.738918040528011
2003-02-23,15.448517654796454
2003-03-02,14.64081764853942
2003-03-09,15.558061165574328
2003-03-16,16.288879133172387
2003-03-23,17.525392955225698
2003-03-30,16.560599625209687
2003-04-06,18.030096436401376
2003-04-13,18.659225204005445
2003-04-20,17.17305951108342
2003-04-27,17.567418685039293
2003-05-04,16.09826496310921
2003-05-11,17.1923355505525
2003-05-18,15.27884548070777
2003-05-25,19.106912726925962
2003-06-01,16.05206421266327
2003-06-08,17.717264726543114
2003-06-15,17.94775930973258
2003-06-22,16.529341810974707
2003-06-29,15.06254972594505
2003-07-06,16.84329812849641
2003-07-13,17.787457580134934
2003-07-20,17.156813841760194
2003-07-27,15.403597685791937
2003-08-03,17.58256584437389
2003-08-10,18.791955573672453
2003-08-17,18.162654972846592
2003-08-24,17.630556657575227
2003-08-31,18.012388173091956
2003-09-07,16.5295276752504
2003-09-14,16.504996501749805
2003-09-21,17.969026034435537
2003-09-28,18.41449103170072
2003-10-05,15.28354788825713
