,Value
2010-12-26,86887.58198520115
2011-01-02,88049.03557803921
2011-01-09,99562.75634411289
2011-01-16,80715.79672550924
2011-01-23,80371.71130648376
2011-01-30,94528.44396783221
2011-02-06,77416.81394590581
2011-02-13,103998.33523956069
2011-02-20,83241.37388924656
2011-02-27,74385.6768815026
2011-03-06,90905.62020574411
2011-03-13,72652.81605892285
2011-03-20,85273.05943062445
2011-03-27,89235.9717953951
2011-04-03,78235.22523045962
2011-04-10,76700.55171605256
2011-04-17,59596.216370127375
2011-04-24,74672.22256869491
2011-05-01,84548.43818313496
2011-05-08,82116.856468842
2011-05-15,81319.12617485257
2011-05-22,81058.49676329346
2011-05-29,77480.89797768516
2011-06-05,79320.29700930197
2011-06-12,89605.80562101224
2011-06-19,91166.4760793336
2011-06-26,90860.04278563056
2011-07-03,82606.2526623254
2011-07-10,104208.54889472474
2011-07-17,93900.76466731199
2011-07-24,94289.69440875163
2011-07-31,104859.4058909921
2011-08-07,102369.80455186065
2011-08-14,97598.8155443248
2011-08-21,112040.54175345585
2011-08-28,88301.3125187312
2011-09-04,89397.47016185065
2011-09-11,78218.7117718748
2011-09-18,69495.73250919601
2011-09-25,86801.04687786156
2011-10-02,78271.1536625389
2011-10-09,77802.89386068612
2011-10-16,82701.01239343398
2011-10-23,67716.77458134024
2011-10-30,62205.517267771065
2011-11-06,48187.48135485275
2011-11-13,63094.02566265576
2011-11-20,82924.01868720821
2011-11-27,76641.48016721944
2011-12-04,85778.2035157936
2011-12-11,81609.89997204208
2011-12-18,74649.30888708896
2011-12-25,78065.83601003326
2012-01-01,85285.57293566536
2012-01-08,68346.35643961678
2012-01-15,80179.0541772101
2012-01-22,76905.55614053312
2012-01-29,93781.65923882213
2012-02-05,76417.17032179753
2012-02-12,70792.55691110736
2012-02-19,58044.748330302245
2012-02-26,72527.47442096306
2012-03-04,54362.723326389074
2012-03-11,59680.66590128475
2012-03-18,62184.41366845312
2012-03-25,64436.619139232185
2012-04-01,56275.72861379167
2012-04-08,51442.15465329539
2012-04-15,61185.86998630956
2012-04-22,70204.57122741887
2012-04-29,60129.499242323574
2012-05-06,76145.31236850003
2012-05-13,74414.8305984281
2012-05-20,80847.47679809757
2012-05-27,54592.5592593572
2012-06-03,69668.45784689859
2012-06-10,74041.43366202222
2012-06-17,74282.98091391243
2012-06-24,74597.6245145769
2012-07-01,96337.04814440728
2012-07-08,89010.3566613645
2012-07-15,80058.67249648488
2012-07-22,97902.89432738855
2012-07-29,87632.91445446578
2012-08-05,82156.11185614334
2012-08-12,96612.74779925957
2012-08-19,92344.11764369093
2012-08-26,76590.38728504545
2012-09-02,76245.92946179342
2012-09-09,68157.73532679101
2012-09-16,77981.86452821249
2012-09-23,68506.68034978939
2012-09-30,84536.92956569786
2012-10-07,62354.32643246899
2012-10-14,65820.20157224066
2012-10-21,69352.1699443659
2012-10-28,70206.77801595132
2012-11-04,71088.46551937723
2012-11-11,87748.38383704983
2012-11-18,64319.67049681117
2012-11-25,90765.50866297897
2012-12-02,77373.3993566684
2012-12-09,74709.25098185414
2012-12-16,71947.71750083151
2012-12-23,83204.45713017612
2012-12-30,89814.76262459166
2013-01-06,87512.48700026765
2013-01-13,84373.99052586769
2013-01-20,78164.705899516
2013-01-27,68537.59643828803
2013-02-03,80886.25003281953
2013-02-10,66436.63924399832
2013-02-17,65497.91284877603
2013-02-24,70223.1429209356
2013-03-03,81259.99358416411
2013-03-10,58851.399676528206
2013-03-17,74023.54860508651
2013-03-24,82730.16680846413
2013-03-31,89867.00173873172
2013-04-07,72706.78958878444
2013-04-14,62383.56450137631
2013-04-21,64707.59299483821
2013-04-28,72091.974984242
2013-05-05,72433.46598695005
2013-05-12,76294.66842264637
2013-05-19,72354.14674412325
2013-05-26,84254.7499530315
2013-06-02,80239.85203100824
2013-06-09,76564.96577606456
2013-06-16,87626.43395254892
2013-06-23,90158.68205112613
2013-06-30,84462.78842932351
2013-07-07,91160.06159003239
2013-07-14,83842.85723572425
2013-07-21,84586.60228078398
2013-07-28,92289.02689526234
2013-08-04,80733.09629131429
2013-08-11,83888.12008062306
2013-08-18,93794.71332857998
2013-08-25,91673.54198038222
2013-09-01,61273.98766857503
2013-09-08,67053.15490322816
2013-09-15,82017.39076750219
2013-09-22,67175.05926839125
2013-09-29,84700.83875059742
2013-10-06,64061.79520390657
2013-10-13,56237.871258189596
2013-10-20,72145.28733026289
2013-10-27,70954.86194016945
2013-11-03,72656.91542839693
2013-11-10,74209.48215650245
2013-11-17,80128.17683958502
2013-11-24,73820.1629804433
2013-12-01,75136.43387588473
2013-12-08,86653.72270747335
2013-12-15,86614.85392410142
2013-12-22,89711.67979759567
2013-12-29,89152.01806824787
2014-01-05,74902.34250077231
2014-01-12,94369.08409948429
2014-01-19,107984.40727162856
2014-01-26,74854.27043628694
2014-02-02,78676.10794694377
2014-02-09,85441.86552173944
2014-02-16,92513.8364473185
2014-02-23,85659.66374614692
2014-03-02,85894.71475170227
2014-03-09,57858.38651297867
2014-03-16,70487.70343200151
2014-03-23,86219.70415233255
2014-03-30,81505.35042131084
2014-04-06,65189.72736644352
2014-04-13,58415.81414335138
2014-04-20,42886.949447572224
2014-04-27,64326.291101675706
2014-05-04,66834.48331800892
2014-05-11,81044.83981536678
2014-05-18,73409.43127546913
2014-05-25,69989.39588982558
2014-06-01,73521.86601034169
2014-06-08,69852.01989340677
2014-06-15,85264.01593961078
2014-06-22,95905.69759940727
2014-06-29,76463.96422041216
2014-07-06,84995.28403280156
2014-07-13,82293.52131601589
2014-07-20,88131.07008837111
2014-07-27,86727.80204176594
2014-08-03,83198.4117638718
2014-08-10,92645.26791978396
2014-08-17,84934.74725516124
2014-08-24,100784.58263008021
2014-08-31,79596.62777875457
2014-09-07,70603.67475943032
2014-09-14,53453.04809719538
2014-09-21,66340.6205951062
2014-09-28,80826.26237361974
2014-10-05,60456.36730037215
2014-10-12,60217.55446456013
2014-10-19,63186.024041835
2014-10-26,70294.62259890659
2014-11-02,66313.61554540797
2014-11-09,69684.45301520909
2014-11-16,60027.555128263615
2014-11-23,74452.80240793705
2014-11-30,71270.38153342767
2014-12-07,67223.64546934373
2014-12-14,76604.93729460351
2014-12-21,85643.44789032059
2014-12-28,81132.36672605995
2015-01-04,84735.89533748204
2015-01-11,86643.46524402461
2015-01-18,61815.0409723121
2015-01-25,85579.04931599664
2015-02-01,61165.68384352057
2015-02-08,82451.47256893417
2015-02-15,72490.37659844517
2015-02-22,61815.69653245678
2015-03-01,67553.97251508356
2015-03-08,72034.21413728138
2015-03-15,66147.06813412246
2015-03-22,57217.509708680445
2015-03-29,57524.95933272384
2015-04-05,60780.413508802645
2015-04-12,55767.56695625103
2015-04-19,46777.02727623346
2015-04-26,51899.09864134342
2015-05-03,66037.49376752897
2015-05-10,64964.846064750694
2015-05-17,59255.890217558015
2015-05-24,55240.61093353553
2015-05-31,46169.8232737894
2015-06-07,75538.0414034924
2015-06-14,90959.73847694328
2015-06-21,68730.557314035
2015-06-28,78933.1778076345
2015-07-05,85579.70234751167
2015-07-12,80296.44169270847
2015-07-19,81870.63699363575
2015-07-26,81382.68063563856
2015-08-02,73579.63238463127
2015-08-09,83886.44490822172
2015-08-16,78298.35508675188
2015-08-23,85449.77537468544
2015-08-30,73185.03895203843
2015-09-06,67099.03074855494
2015-09-13,79006.41032465207
2015-09-20,75650.48514722796
2015-09-27,54581.15954624765
2015-10-04,56050.32066858998
2015-10-11,48018.25361767036
2015-10-18,47633.13451512533
2015-10-25,57720.558859744015
2015-11-01,40172.784991575565
2015-11-08,61556.517357119956
2015-11-15,54721.59696846887
2015-11-22,65794.59161555987
2015-11-29,50969.54904182819
2015-12-06,60639.61723276545
2015-12-13,52945.99787649648
2015-12-20,48436.803009561954
2015-12-27,52895.74256482574
2016-01-03,77589.4267362132
2016-01-10,58495.206606360975
2016-01-17,69895.1780214415
2016-01-24,86024.52936208717
2016-01-31,71058.1477859949
2016-02-07,47180.581674919944
2016-02-14,56204.201031273806
2016-02-21,48404.35033594913
2016-02-28,54530.99499730441
2016-03-06,46698.30268531367
2016-03-13,60989.67517193375
2016-03-20,48979.704247745
2016-03-27,37119.26471702439
2016-04-03,48315.595563058436
2016-04-10,52635.18068227394
2016-04-17,55749.02755535804
2016-04-24,44774.91662570089
2016-05-01,61849.1254261614
2016-05-08,44563.228019668146
2016-05-15,40940.36056928081
2016-05-22,38207.16287914441
2016-05-29,62556.48341535637
2016-06-05,52139.83335728622
2016-06-12,63531.9181492592
2016-06-19,49877.20620158701
2016-06-26,69161.39637514384
2016-07-03,78784.83353096571
2016-07-10,76541.54296368705
2016-07-17,81149.06171888165
2016-07-24,81360.004463253
2016-07-31,88747.48179646663
2016-08-07,65711.68289178387
2016-08-14,81573.26437245564
2016-08-21,72232.31641040482
2016-08-28,74297.80042469328
2016-09-04,71091.96777336317
2016-09-11,60759.9597538134
2016-09-18,67028.70474481577
2016-09-25,67480.98401115455
2016-10-02,63527.81909156632
2016-10-09,50496.89847948807
2016-10-16,58800.6614558987
2016-10-23,43032.93866811305
2016-10-30,56908.05285492909
2016-11-06,37387.88161792064
2016-11-13,46450.7258260425
2016-11-20,45873.855841161
2016-11-27,47592.98139596928
2016-12-04,60612.74321179926
2016-12-11,64006.16051337181
2016-12-18,65114.10687507905
2016-12-25,60259.892340676524
2017-01-01,67448.18872486435
2017-01-08,60733.30092227254
2017-01-15,69661.72860981559
2017-01-22,60874.01744744635
2017-01-29,63631.997552937566
2017-02-05,57263.10732122509
2017-02-12,43609.02935362335
2017-02-19,59461.03999492366
2017-02-26,57970.66728907032
2017-03-05,64802.80811829534
2017-03-12,65943.66804923628
2017-03-19,39610.835243519294
2017-03-26,51157.15652416119
2017-04-02,53827.53743344151
2017-04-09,43899.55503901952
2017-04-16,49044.748515307816
2017-04-23,49209.13394230695
2017-04-30,37330.07989732208
2017-05-07,50205.902466367166
2017-05-14,49074.17669076959
2017-05-21,58356.79545257605
2017-05-28,48654.447877891595
2017-06-04,56817.497951109464
2017-06-11,68858.63030178209
2017-06-18,54007.06950921826
2017-06-25,56957.906784522405
2017-07-02,63311.63049387035
2017-07-09,73687.12253609029
2017-07-16,68853.9605423481
2017-07-23,77192.78828598176
2017-07-30,71552.59148352586
2017-08-06,69968.03690137327
2017-08-13,72899.50610113986
2017-08-20,55203.4369413851
2017-08-27,90946.14155972611
2017-09-03,65965.8935512605
2017-09-10,68331.29282649381
2017-09-17,58681.2929658078
2017-09-24,66900.84911370113
2017-10-01,54434.75412253003
2017-10-08,57839.20997115724
2017-10-15,55498.24917830355
2017-10-22,63117.812933283094
2017-10-29,56109.55044723366
2017-11-05,54865.51574606374
2017-11-12,64644.02209211896
2017-11-19,56431.581877650526
2017-11-26,47581.76911745428
2017-12-03,59432.806306981285
2017-12-10,64514.93057404549
2017-12-17,50955.05215357748
2017-12-24,51137.14266761314
2017-12-31,58669.23455162774
2018-01-07,68005.96658435863
2018-01-14,65910.61686034787
2018-01-21,59786.664450349264
2018-01-28,65113.18455801853
2018-02-04,58176.06946752356
2018-02-11,56036.584733921554
2018-02-18,36268.82350098014
2018-02-25,40451.21251262906
2018-03-04,48504.44096183051
2018-03-11,69454.81552383315
2018-03-18,51024.04926226755
2018-03-25,51234.09863776393
2018-04-01,33589.10285719721
2018-04-08,53919.60255504301
2018-04-15,44274.06582833243
2018-04-22,32635.209262416814
2018-04-29,45817.74865898068
2018-05-06,60781.14084840132
2018-05-13,49918.047241919674
2018-05-20,50414.08595593617
2018-05-27,33948.14947777611
2018-06-03,55164.742645861166
2018-06-10,54757.586656282285
2018-06-17,62663.10870268549
2018-06-24,68743.33905301054
2018-07-01,53224.35281647779
2018-07-08,57975.78270718735
2018-07-15,68800.77616186933
2018-07-22,65866.29560095778
2018-07-29,72395.90133116438
2018-08-05,53078.80581064257
2018-08-12,81981.10225292912
2018-08-19,56482.378247646484
2018-08-26,59655.523607256386
2018-09-02,55799.6780842281
2018-09-09,55570.09573696813
2018-09-16,58878.5341574327
2018-09-23,67689.56463464355
2018-09-30,56651.60821767147
2018-10-07,46246.306292507325
2018-10-14,65857.54871040203
2018-10-21,56941.634556834535
2018-10-28,47256.94526662468
2018-11-04,53153.943257870014
2018-11-11,49534.647080563824
2018-11-18,60444.37419299577
2018-11-25,47475.44176479903
2018-12-02,60863.51369867573
2018-12-09,60696.71582080472
2018-12-16,50250.12795027119
2018-12-23,60788.60766234621
2018-12-30,41405.747450971154
2019-01-06,63372.591021215805
2019-01-13,71370.00113868108
2019-01-20,58063.34840237867
2019-01-27,69000.94294798691
2019-02-03,53373.36072511345
2019-02-10,44775.37061582593
2019-02-17,31575.14707822517
2019-02-24,41420.104855438774
2019-03-03,43865.830556185436
2019-03-10,46931.2030387556
2019-03-17,44881.84156022342
2019-03-24,44873.86686312478
2019-03-31,45347.54761426067
2019-04-07,28154.38160974974
2019-04-14,41318.7242370444
2019-04-21,46827.22382416787
2019-04-28,45771.58510227372
2019-05-05,48861.08505998288
2019-05-12,56805.31390501349
2019-05-19,50082.93155200784
2019-05-26,54798.826464126105
2019-06-02,54389.96140617532
