,Value
2001-01-07,96641.56859146016
2001-01-14,89172.96036915059
2001-01-21,100533.6876561888
2001-01-28,101753.62189527162
2001-02-04,61448.50320950679
2001-02-11,84750.18928803664
2001-02-18,84421.53821302361
2001-02-25,96753.46242025739
2001-03-04,74788.05290427695
2001-03-11,86535.42024895162
2001-03-18,68384.00833520485
2001-03-25,74962.95365481549
2001-04-01,90444.57487818539
2001-04-08,71861.08161698084
2001-04-15,76914.86810742773
2001-04-22,73912.39968474496
2001-04-29,80575.04556071378
2001-05-06,81810.27979442166
2001-05-13,71621.89233844675
2001-05-20,88625.35870910135
2001-05-27,91775.87921446323
2001-06-03,91169.6726796808
2001-06-10,109491.09595888053
2001-06-17,90591.22950733564
2001-06-24,95857.93640482264
2001-07-01,88596.12135455747
2001-07-08,94102.59202038606
2001-07-15,100721.36482544024
2001-07-22,98759.97325342346
2001-07-29,98805.41667412306
2001-08-05,101402.44413990108
2001-08-12,86869.22198940656
2001-08-19,96250.4935966094
2001-08-26,97646.81529095462
2001-09-02,86686.2591149639
2001-09-09,81028.86423786303
2001-09-16,99962.31282626608
2001-09-23,86584.26744076151
2001-09-30,82340.4634965112
2001-10-07,82445.40558417719
2001-10-14,86245.32826676815
2001-10-21,91529.48426528208
2001-10-28,103210.754891171
2001-11-04,76203.64925946185
2001-11-11,92314.97755260528
2001-11-18,82604.24906290576
2001-11-25,81756.4500712935
2001-12-02,82781.83495022863
2001-12-09,87165.97137606434
2001-12-16,83744.99161998215
2001-12-23,91154.87180734424
2001-12-30,76546.62513589388
2002-01-06,94589.00275139013
2002-01-13,100243.6002362243
2002-01-20,93039.69505914759
2002-01-27,82297.56283679798
2002-02-03,79078.60770694594
2002-02-10,73181.6167314525
2002-02-17,86488.5233910979
2002-02-24,72768.77425086481
2002-03-03,86195.53153071931
2002-03-10,81457.72149512895
2002-03-17,84547.4931243918
2002-03-24,79229.53389723407
2002-03-31,83291.43907512895
2002-04-07,70307.18459562834
2002-04-14,86815.4003053985
2002-04-21,78670.84350810738
2002-04-28,82467.61131894596
2002-05-05,72459.46257952013
2002-05-12,92801.43024747302
2002-05-19,69743.25088123353
2002-05-26,72299.7840585523
2002-06-02,99562.6245013409
2002-06-09,91793.12694226387
2002-06-16,81045.99817134894
2002-06-23,88356.23897519849
2002-06-30,87799.88489051993
2002-07-07,88603.04374603073
2002-07-14,99722.08173280455
2002-07-21,100745.7577249595
2002-07-28,90601.0383759014
2002-08-04,97322.48460532281
2002-08-11,92846.97359200708
2002-08-18,103935.77756665577
2002-08-25,94208.2789438367
2002-09-01,77620.50601358726
2002-09-08,96352.40433159625
2002-09-15,76980.1429222603
2002-09-22,84003.09591233994
2002-09-29,86853.72900031682
2002-10-06,86256.97076637509
2002-10-13,82896.69956728249
2002-10-20,101569.21497688985
2002-10-27,94802.45443850833
2002-11-03,83956.23330252223
2002-11-10,105103.84797146815
2002-11-17,88880.66050296779
2002-11-24,73343.55152351272
2002-12-01,102674.03033351428
2002-12-08,97417.09628273087
2002-12-15,101691.86476705477
2002-12-22,104327.64919051372
2002-12-29,106401.17654219615
2003-01-05,101243.78558033764
2003-01-12,106062.99866525458
2003-01-19,106838.60281994457
2003-01-26,81820.22190698022
2003-02-02,102843.14505059204
2003-02-09,85241.29389045999
2003-02-16,99631.44319790741
2003-02-23,93484.63913792344
2003-03-02,92024.81360369944
2003-03-09,92970.74098530067
2003-03-16,84821.56081751114
2003-03-23,84213.49702604856
2003-03-30,77536.4691816654
2003-04-06,84790.03750975202
2003-04-13,83414.87250722486
2003-04-20,77230.98689423391
2003-04-27,80251.15554902848
2003-05-04,96530.78727312248
2003-05-11,73106.60235604976
2003-05-18,89965.40132102267
2003-05-25,85807.2834371091
2003-06-01,96720.26274066117
2003-06-08,97537.69687584233
2003-06-15,107177.81190460049
2003-06-22,92460.47526399078
2003-06-29,95700.69972162505
2003-07-06,89980.14486608228
2003-07-13,98047.72395575355
2003-07-20,108133.79460012441
2003-07-27,98692.6669093921
2003-08-03,110085.8051318213
2003-08-10,80232.76516016276
2003-08-17,111394.02210407039
2003-08-24,92922.48325060344
2003-08-31,120598.27657289986
2003-09-07,88035.22844187715
2003-09-14,91276.19265678921
2003-09-21,86024.15654050086
2003-09-28,87722.61751905462
2003-10-05,91210.74966875532
2003-10-12,89381.76102886432
2003-10-19,97183.15042076966
2003-10-26,99250.46406286246
2003-11-02,98615.15733966182
2003-11-09,81196.16074245312
2003-11-16,92143.16102926744
2003-11-23,91541.65597335782
2003-11-30,81882.01429049623
2003-12-07,101946.07786291097
2003-12-14,111879.39837481474
2003-12-21,108918.86766826005
2003-12-28,88241.95344158815
2004-01-04,83847.69863249802
2004-01-11,102452.13548118036
2004-01-18,92151.16695098176
2004-01-25,103511.04791267056
