Date,Price,Open,High,Low,Vol.,Change %
9-Feb-20,52.05,50.12,52.34,49.42,3.59M,3.44%
2-Feb-20,50.32,51.01,52.2,49.31,4.14M,-2.40%
26-Jan-20,51.56,53.7,54.37,50.97,3.52M,-4.85%
19-Jan-20,54.19,59.17,59.73,53.85,1.96M,-7.43%
12-Jan-20,58.54,59.04,59.27,57.36,1.83M,-0.85%
5-Jan-20,59.04,63.71,65.65,58.66,3.86M,-6.36%
29-Dec-19,63.05,61.71,64.09,60.63,2.29M,2.15%
22-Dec-19,61.72,60.41,61.97,60.1,1.14M,2.12%
15-Dec-19,60.44,59.87,61.47,59.71,1.23M,0.62%
8-Dec-19,60.07,59.11,60.48,58.11,2.71M,1.47%
1-Dec-19,59.2,55.47,59.85,55.35,3.27M,7.30%
24-Nov-19,55.17,57.92,58.68,55.02,2.04M,-4.50%
17-Nov-19,57.77,57.88,58.74,54.76,1.41M,0.09%
10-Nov-19,57.72,57.4,57.97,56.2,2.53M,0.84%
3-Nov-19,57.24,56.41,57.88,55.76,2.95M,1.85%
27-Oct-19,56.2,56.65,56.92,53.71,2.83M,-0.81%
20-Oct-19,56.66,53.71,56.74,52.71,1.68M,5.36%
13-Oct-19,53.78,54.9,54.9,52.39,2.02M,-1.68%
6-Oct-19,54.7,52.69,54.93,51.38,3.20M,3.58%
29-Sep-19,52.81,56.54,56.57,50.99,2.90M,-5.54%
22-Sep-19,55.91,59.25,59.39,54.75,2.99M,-3.75%
15-Sep-19,58.09,61.48,63.38,57.67,2.77M,5.91%
8-Sep-19,54.85,56.8,58.76,54,3.71M,-2.95%
1-Sep-19,56.52,55,57.76,52.84,3.08M,2.58%
25-Aug-19,55.1,53.25,56.89,52.96,3.29M,1.72%
18-Aug-19,54.17,54.96,57.13,53.24,2.29M,-1.28%
11-Aug-19,54.87,54.32,57.47,53.54,2.81M,0.68%
4-Aug-19,54.5,55.38,55.61,50.52,4.02M,-2.08%
28-Jul-19,55.66,56.2,58.82,53.59,3.32M,-0.96%
21-Jul-19,56.2,56.22,57.64,55.33,2.33M,1.02%
14-Jul-19,55.63,60.25,60.92,54.72,2.10M,-7.61%
7-Jul-19,60.21,57.77,60.94,57.29,2.83M,4.69%
30-Jun-19,57.51,59.27,60.28,56.04,2.85M,-1.64%
23-Jun-19,58.47,57.72,59.93,56.75,3.04M,1.81%
16-Jun-19,57.43,52.5,57.98,51.5,1.41M,9.37%
9-Jun-19,52.51,54.24,54.84,50.72,3.64M,-2.74%
2-Jun-19,53.99,53.42,54.63,50.6,4.38M,0.92%
26-May-19,53.5,58.94,59.7,53.05,4.02M,-8.75%
19-May-19,58.63,62.93,63.81,57.33,2.79M,-6.58%
12-May-19,62.76,61.65,63.64,60.64,3.24M,1.78%
5-May-19,61.66,61.43,62.95,60.04,3.96M,-0.45%
28-Apr-19,61.94,62.95,64.75,60.95,3.64M,-2.15%
21-Apr-19,63.3,64,66.6,62.28,3.01M,-1.09%
14-Apr-19,64,63.76,64.61,62.99,1.49M,0.17%
7-Apr-19,63.89,63.33,64.79,63.13,3.79M,1.28%
31-Mar-19,63.08,60.24,63.34,60.13,3.64M,4.89%
24-Mar-19,60.14,58.98,60.73,58.17,3.54M,1.86%
17-Mar-19,59.04,58.45,60.39,58.05,1.70M,0.89%
10-Mar-19,58.52,56.07,58.95,55.96,2.94M,4.37%
3-Mar-19,56.07,55.83,57.19,54.52,3.10M,0.48%
24-Feb-19,55.8,57.17,57.88,55.02,3.02M,-2.55%
17-Feb-19,57.26,55.78,57.81,55.29,1.25M,3.00%
10-Feb-19,55.59,52.66,55.87,51.23,3.07M,5.44%
3-Feb-19,52.72,55.32,55.75,51.8,3.21M,-4.60%
27-Jan-19,55.26,53.56,55.66,51.33,3.45M,2.92%
20-Jan-19,53.69,53.73,54.24,51.8,2.06M,-0.20%
13-Jan-19,53.8,51.73,53.92,50.38,2.63M,4.28%
6-Jan-19,51.59,48.3,53.31,48.11,4.11M,7.57%
30-Dec-18,47.96,45.22,49.22,44.35,2.93M,5.80%
23-Dec-18,45.33,45.45,47,42.36,2.34M,-0.57%
16-Dec-18,45.59,51.25,51.87,45.13,1.86M,-10.96%
9-Dec-18,51.2,52.03,53.27,50.35,3.39M,-2.68%
2-Dec-18,52.61,52.45,54.55,50.08,4.10M,3.30%
25-Nov-18,50.93,50.62,52.56,49.41,3.87M,1.01%
18-Nov-18,50.42,56.72,57.44,50.15,2.77M,-10.70%
11-Nov-18,56.46,60.7,61.28,54.75,3.16M,-6.20%
4-Nov-18,60.19,62.99,64.14,59.26,3.82M,-4.67%
28-Oct-18,63.14,67.55,67.95,62.63,3.32M,-6.58%
21-Oct-18,67.59,69.41,69.66,65.74,2.82M,-2.21%
14-Oct-18,69.12,71.85,72.7,68.47,2.08M,-3.11%
7-Oct-18,71.34,74.4,75.28,70.51,3.24M,-4.04%
30-Sep-18,74.34,73.29,76.9,72.95,3.07M,1.49%
23-Sep-18,73.25,71.14,73.73,71.14,2.59M,3.49%
16-Sep-18,70.78,68.93,71.81,68.53,1.67M,2.59%
9-Sep-18,68.99,67.82,71.26,67.33,3.34M,1.83%
2-Sep-18,67.75,69.89,71.4,66.86,2.49M,-2.94%
26-Aug-18,69.8,68.57,70.5,68.21,2.12M,1.57%
19-Aug-18,68.72,65.91,69.31,65.59,1.69M,4.26%
12-Aug-18,65.91,67.78,68.37,64.43,2.24M,-2.54%
5-Aug-18,67.63,68.65,69.92,66.14,2.77M,-1.26%
29-Jul-18,68.49,69.01,70.43,66.92,2.57M,-0.29%
22-Jul-18,68.69,68.17,69.92,67.56,2.65M,-2.51%
15-Jul-18,70.46,70.52,71.1,67.03,1.29M,-0.77%
8-Jul-18,71.01,73.87,74.7,69.23,3.22M,-3.78%
1-Jul-18,73.8,73.62,75.27,72.14,2.77M,-0.47%
24-Jun-18,74.15,68.75,74.46,67.72,3.76M,8.12%
17-Jun-18,68.58,64.4,69.38,63.59,2.27M,5.41%
10-Jun-18,65.06,65.56,67.16,64.29,2.68M,-1.03%
3-Jun-18,65.74,65.71,66.24,64.22,3.37M,-0.11%
27-May-18,65.81,67.55,68.67,65.51,3.49M,-3.05%
20-May-18,67.88,71.47,72.83,67.42,2.45M,-4.77%
13-May-18,71.28,70.54,72.3,70.26,2.76M,0.82%
6-May-18,70.7,69.85,71.89,67.63,4.26M,1.41%
29-Apr-18,69.72,68.15,69.97,66.85,3.62M,2.38%
22-Apr-18,68.1,68.22,69.38,67.11,3.54M,-0.41%
15-Apr-18,68.38,67.24,69.56,65.56,1.43M,1.47%
8-Apr-18,67.39,62,67.76,61.93,3.77M,8.59%
1-Apr-18,62.06,64.91,65.42,61.81,3.21M,-4.43%
25-Mar-18,64.94,65.9,66.55,63.72,2.52M,-1.43%
18-Mar-18,65.88,62.23,66,61.36,2.36M,5.68%
11-Mar-18,62.34,62.1,62.54,60.11,2.58M,0.48%
4-Mar-18,62.04,61.55,63.28,59.95,3.49M,1.29%
25-Feb-18,61.25,63.6,64.24,60.13,3.23M,-3.62%
18-Feb-18,63.55,61.63,63.73,60.75,1.57M,3.03%
11-Feb-18,61.68,59.12,61.99,58.2,2.49M,4.19%
4-Feb-18,59.2,65.1,65.4,58.07,4.58M,-9.55%
28-Jan-18,65.45,66.18,66.46,63.67,3.50M,-1.04%
21-Jan-18,66.14,63.61,66.66,63.17,3.04M,4.37%
14-Jan-18,63.37,64.43,64.89,62.85,1.66M,-1.45%
7-Jan-18,64.3,61.61,64.77,61.34,3.71M,4.65%
31-Dec-17,61.44,60.2,62.21,60.1,2.40M,1.69%
24-Dec-17,60.42,58.4,60.51,58.32,1.65M,3.34%
17-Dec-17,58.47,57.37,58.5,56.82,1.32M,2.04%
10-Dec-17,57.3,57.25,58.56,56.09,2.88M,-0.10%
3-Dec-17,57.36,58.32,58.34,55.82,2.95M,-1.71%
26-Nov-17,58.36,58.95,58.99,56.75,3.40M,-1.00%
19-Nov-17,58.95,56.69,59.05,55.57,2.07M,4.24%
12-Nov-17,56.55,56.9,57.15,54.81,2.24M,-0.33%
5-Nov-17,56.74,55.97,57.92,55.66,3.74M,1.98%
29-Oct-17,55.64,54.16,55.76,53.75,2.83M,3.23%
22-Oct-17,53.9,52.07,54.2,51.55,3.30M,4.72%
15-Oct-17,51.47,51.43,52.37,50.7,1.31M,0.04%
8-Oct-17,51.45,49.25,51.72,49.13,3.22M,4.38%
1-Oct-17,49.29,51.64,51.71,49.1,3.06M,-4.61%
24-Sep-17,51.67,50.68,52.86,50.39,3.40M,1.99%
17-Sep-17,50.66,49.85,50.81,49.19,1.42M,1.54%
10-Sep-17,49.89,47.58,50.5,47,3.30M,5.08%
3-Sep-17,47.48,47.28,49.42,47.15,3.37M,0.40%
27-Aug-17,47.29,47.89,48.2,45.58,4.36M,-1.21%
20-Aug-17,47.87,48.72,48.75,47.03,2.35M,-1.32%
13-Aug-17,48.51,48.79,49.16,46.46,3.21M,-0.63%
6-Aug-17,48.82,49.59,50.22,47.98,4.55M,-1.53%
30-Jul-17,49.58,49.85,50.43,48.37,4.22M,-0.26%
23-Jul-17,49.71,45.62,49.81,45.4,4.13M,8.61%
16-Jul-17,45.77,46.68,47.55,45.54,1.70M,-1.65%
9-Jul-17,46.54,44.35,46.74,43.65,4.31M,5.22%
2-Jul-17,44.23,46.28,47.32,43.78,3.64M,-3.93%
25-Jun-17,46.04,43.16,46.35,42.63,3.62M,7.04%
18-Jun-17,43.01,44.68,45.06,42.05,2.58M,-3.87%
11-Jun-17,44.74,45.8,46.71,44.22,3.07M,-2.38%
4-Jun-17,45.83,47.71,48.42,45.2,4.38M,-3.84%
28-May-17,47.66,49.93,50.28,46.74,3.02M,-4.30%
21-May-17,49.8,50.6,52,48.18,3.26M,-1.05%
14-May-17,50.33,47.85,50.53,47.75,2.32M,5.20%
7-May-17,47.84,46.35,48.22,45.53,3.51M,3.50%
30-Apr-17,46.22,49.17,49.32,43.76,3.72M,-6.30%
23-Apr-17,49.33,49.68,50.22,48.2,3.17M,-0.58%
16-Apr-17,49.62,52.97,53.21,49.2,1.38M,-6.69%
9-Apr-17,53.18,52.31,53.76,52.29,2.27M,1.80%
2-Apr-17,52.24,50.69,52.94,49.88,2.89M,3.24%
26-Mar-17,50.6,48.12,50.85,47.08,2.63M,5.48%
19-Mar-17,47.97,48.7,48.74,47.01,1.77M,-1.66%
12-Mar-17,48.78,48.45,49.62,47.09,2.80M,0.60%
5-Mar-17,48.49,53.19,53.8,48.31,3.83M,-9.08%
26-Feb-17,53.33,54.02,54.61,52.54,2.55M,-1.22%
19-Feb-17,53.99,53.48,54.94,53.35,1.47M,1.10%
12-Feb-17,53.4,53.8,53.95,52.68,2.08M,-0.85%
5-Feb-17,53.86,53.81,54.13,51.22,3.02M,0.06%
29-Jan-17,53.83,53.15,54.34,52.24,2.61M,1.24%
22-Jan-17,53.17,53.33,54.08,52.21,2.64M,1.43%
15-Jan-17,52.42,52.55,53.52,50.91,964.85K,0.10%
8-Jan-17,52.37,53.75,53.83,50.71,3.15M,-3.00%
1-Jan-17,53.99,54.2,55.24,52.11,2.29M,0.50%
25-Dec-16,53.72,53.29,54.37,53.03,1.23M,1.32%
18-Dec-16,53.02,52.15,53.79,51.51,1.31M,2.16%
11-Dec-16,51.9,52.58,54.51,49.95,2.97M,0.78%
4-Dec-16,51.5,51.46,52.42,49.61,3.49M,-0.35%
27-Nov-16,51.68,45.43,51.8,44.82,4.42M,12.20%
20-Nov-16,46.06,45.83,49.2,45.77,1.88M,0.81%
13-Nov-16,45.69,43.2,46.58,42.2,2.51M,5.25%
6-Nov-16,43.41,44.45,45.95,43.03,3.54M,-1.50%
30-Oct-16,44.07,48.25,48.74,43.57,3.44M,-9.51%
23-Oct-16,48.7,50.85,50.98,48.42,2.95M,-4.23%
16-Oct-16,50.85,50.23,51.93,49.47,1.32M,0.99%
9-Oct-16,50.35,49.57,51.6,49.15,3.25M,1.08%
2-Oct-16,49.81,48.04,50.74,47.78,2.66M,3.25%
25-Sep-16,48.24,44.62,48.32,44.19,3.37M,8.45%
18-Sep-16,44.48,43.18,46.55,42.55,1.99M,3.37%
11-Sep-16,43.03,45.57,46.51,42.74,2.88M,-6.21%
4-Sep-16,45.88,44.15,47.75,43.84,2.96M,3.24%
28-Aug-16,44.44,47.22,47.49,43,2.50M,-6.72%
21-Aug-16,47.64,48.4,48.46,46.42,2.28M,-1.81%
14-Aug-16,48.52,44.74,48.75,44.38,2.03M,9.06%
7-Aug-16,44.49,41.99,44.78,41.1,3.08M,6.44%
31-Jul-16,41.8,41.35,42.1,39.19,2.87M,0.48%
24-Jul-16,41.6,44.2,44.37,40.57,2.32M,-5.86%
17-Jul-16,44.19,46.12,46.14,43.69,1.23M,-3.83%
10-Jul-16,45.95,45.07,46.93,44.42,2.88M,1.19%
3-Jul-16,45.41,49.11,49.35,44.77,2.51M,-7.31%
26-Jun-16,48.99,47.81,50,45.83,2.43M,2.83%
19-Jun-16,47.64,48.29,50.54,46.7,1.75M,-0.71%
12-Jun-16,47.98,48.85,49.28,45.83,2.22M,-2.22%
5-Jun-16,49.07,48.88,51.67,48.71,2.81M,0.93%
29-May-16,48.62,49.54,50.1,47.75,2.09M,-1.44%
22-May-16,49.33,48.46,50.21,47.4,2.40M,3.31%
15-May-16,47.75,46.28,48.95,46.15,1.50M,3.33%
8-May-16,46.21,45,47.02,43.03,3.58M,3.47%
1-May-16,44.66,45.9,46.15,43.22,3.24M,-2.74%
24-Apr-16,45.92,43.75,46.78,42.5,2.90M,5.01%
17-Apr-16,43.73,38.75,44.49,37.61,1.72M,8.35%
10-Apr-16,40.36,39.72,42.42,39.25,3.22M,1.61%
3-Apr-16,39.72,36.61,39.84,35.24,3.23M,7.96%
27-Mar-16,36.79,39.55,40.14,36.63,2.41M,-6.77%
20-Mar-16,39.46,39.06,41.9,38.33,1.48M,0.05%
13-Mar-16,39.44,38.17,41.2,35.96,1.86M,2.44%
6-Mar-16,38.5,36.2,39.02,36.09,3.42M,7.18%
28-Feb-16,35.92,32.72,36.34,32.32,2.77M,9.58%
21-Feb-16,32.78,29.72,34.69,29.48,2.48M,10.59%
14-Feb-16,29.64,29.08,31.98,28.7,1.56M,0.68%
7-Feb-16,29.44,30.97,31.38,26.05,3.59M,-4.69%
31-Jan-16,30.89,33.83,34.18,29.4,3.32M,-8.12%
24-Jan-16,33.62,32.05,34.82,29.25,3.44M,4.44%
17-Jan-16,32.19,29.2,32.35,26.19,1.55M,9.42%
10-Jan-16,29.42,32.94,33.2,29.13,2.78M,-11.28%
3-Jan-16,33.16,37.6,38.39,32.1,2.62M,-10.48%
27-Dec-15,37.04,38,38.09,36.22,1.01M,-2.78%
20-Dec-15,38.1,34.58,38.28,33.98,910.08K,9.70%
13-Dec-15,34.73,35.4,37.88,34.29,1.74M,-2.50%
6-Dec-15,35.62,40.1,40.15,35.16,3.07M,-10.88%
29-Nov-15,39.97,41.77,42.61,39.6,2.34M,-4.17%
22-Nov-15,41.71,41.49,43.46,40.41,1.65M,3.27%
15-Nov-15,40.39,40.92,42.25,38.99,1.32M,-0.86%
8-Nov-15,40.74,44.52,45.12,40.22,2.46M,-8.02%
1-Nov-15,44.29,46.43,48.36,44.11,2.09M,-4.94%
25-Oct-15,46.59,44.74,47.03,42.58,1.99M,4.46%
18-Oct-15,44.6,47.27,47.49,44.2,1.28M,-5.63%
11-Oct-15,47.26,49.51,50.13,45.23,1.79M,-4.78%
4-Oct-15,49.63,45.65,50.92,45.21,2.34M,8.98%
27-Sep-15,45.54,45.38,47.1,43.97,1.79M,-0.35%
20-Sep-15,45.7,44.97,47.15,43.71,1.26M,2.28%
13-Sep-15,44.68,44.78,47.71,43.59,1.66M,0.11%
6-Sep-15,44.63,45.82,46.41,43.36,1.83M,-3.08%
30-Aug-15,46.05,45,49.33,43.21,3.09M,1.84%
23-Aug-15,45.22,40.3,45.9,37.75,2.41M,11.79%
16-Aug-15,40.45,42.18,42.9,39.86,1.02M,-4.82%
9-Aug-15,42.5,43.58,45.34,41.35,2.26M,-3.12%
2-Aug-15,43.87,46.86,46.94,43.7,1.79M,-6.90%
26-Jul-15,47.12,48,49.52,46.68,1.56M,-2.12%
19-Jul-15,48.14,50.76,51.26,47.72,1.07M,-5.40%
12-Jul-15,50.89,52.15,53.5,50.14,1.64M,-3.51%
5-Jul-15,52.74,56.42,56.79,50.58,2.23M,-7.36%
